source_id,target_id,relationship
MIC-ENCL,ENCLEAR operating-level market identifier,rdf-schema#label
MIC-BVMF,BVMF,hasTag
Facility-TMXS,Toronto,operatesInMunicipality
Facility-STFX,New_York,operatesInMunicipality
MIC-BNLD,MICCodeScheme,isMemberOf
MIC-NAPA,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-ISBA,ActiveMICStatus,hasMarketIdentifierCodeStatus
Facility-XMAN,www.bolsanic.com,hasWebsite
Facility-KNIG,www.knight.com,hasWebsite
MIC-FXFM,MICCodeScheme,isMemberOf
Facility-INGE,SYSTEMATIC INTERNALISER FOR SPRINTERS AND EQUITY.,core#note
Facility-WELS,"WELLS FARGO SECURITIES, LLC - EQUITIES",rdf-schema#label
ServiceProvider-L-213800PA2Q75PE1FIC23,L-213800PA2Q75PE1FIC23,isPlayedBy
Facility-EXSI,EXANE BNP PARIBAS - GB,rdf-schema#label
ServiceProvider-THEARCHIPELAGOECN,FinancialServiceProvider,22-rdf-syntax-ns#type
ServiceProvider-L-549300MJXRX8C2XQEX97,ICE SWAP TRADE LLC as service provider,rdf-schema#label
ServiceProvider-L-969500OBCS5EQT67NQ53,GRIFFIN MARKETS EUROPE as service provider,rdf-schema#label
Facility-ZARX,ZAR X,hasFormalName
Facility-MSSI,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-GRIO,GRIFFIN MARKETS LIMITED - OTF,rdf-schema#label
Facility-360X,OperatingLevelMarket,22-rdf-syntax-ns#type
ServiceProvider-L-EYKN6V0ZCB8VD9IULB80,L-EYKN6V0ZCB8VD9IULB80,isPlayedBy
MIC-TWEM,Facility-TWEM,identifies
Facility-VMTS,ServiceProvider-L-213800OANOWGT2KW8O63,isManagedBy
MIC-LBCW,ActiveMICStatus,hasMarketIdentifierCodeStatus
Facility-TRAS,www.tradition.com,hasWebsite
MIC-DNSE,Facility-DNSE,identifies
Facility-UBSG,www.ubs.com,hasWebsite
MIC-FINC,owl#NamedIndividual,22-rdf-syntax-ns#type
ServiceProvider-L-549300MII67ES5YBJH61,L-549300MII67ES5YBJH61,isPlayedBy
Facility-AQUA,New_York,operatesInMunicipality
MIC-TEMB,TULLETT PREBON EUROPE - MTF - GOVERNMENT BONDS EXCLUDING UK GILTS market segment-level market identifier,rdf-schema#label
ServiceProvider-L-9KOGW2C2FCIOJQ7FF485,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-MICE,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
Facility-ONEP,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
MIC-BLTX,MICCodeScheme,isMemberOf
Facility-XNAF,MultilateralTradingFacility,22-rdf-syntax-ns#type
Facility-WOPO,WARSAW STOCK EXCHANGE - SPO BOOK BUILDING,rdf-schema#label
ServiceProvider-NILESTOCKEXCHANGE,LegalEntity-NILESTOCKEXCHANGE,isPlayedBy
Facility-UBSS,UBS SECURITIES LLC,rdf-schema#label
MIC-SIDX,Facility-SIDX,identifies
Facility-XAFX,Mauritius,operatesInCountry
Facility-NMTS,NEW EUROMTS,rdf-schema#label
ServiceProvider-GXMARKETCENTER,LegalEntity-GXMARKETCENTER,isPlayedBy
MIC-NZFX,Facility-NZFX,identifies
MIC-NASB,NASDAQ BALTIC operating-level market identifier,rdf-schema#label
Facility-CBAE,Netherlands,operatesInCountry
Facility-IFSM,ServiceProvider-L-5299009CKES2S5E3YG94,isManagedBy
Facility-XQOD,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-G1XX,G1 EXECUTION SERVICES,hasFormalName
MIC-XTND,XTEND market segment-level market identifier,rdf-schema#label
LegalEntity-OSLOCONNECT,owl#NamedIndividual,22-rdf-syntax-ns#type
ServiceProvider-L-N4JDFKKH2FTD8RKFXO39,FinancialServiceProvider,22-rdf-syntax-ns#type
ServiceProvider-CITIDARK,CITI DARK as service provider,rdf-schema#label
MIC-RULE,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-FICX,FINANCIAL INFORMATION CONTRIBUTORS EXCHANGE operating-level market identifier,rdf-schema#label
Facility-MARF,MultilateralTradingFacility,22-rdf-syntax-ns#type
Facility-PIPR,www.pipersandler.com,hasWebsite
Facility-PURE,CSE-PURE,hasFacilityAcronym
Facility-XBRD,www.euronext.com,hasWebsite
ServiceProvider-L-213800G8QEXN34A2YG53,L-213800G8QEXN34A2YG53,isPlayedBy
ServiceProvider-L-315700KVEWB12APT2364,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-EXCP,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
Facility-IIDX,Facility-XINS,isPartOf
Facility-ALXA,www.euronext.com,hasWebsite
ServiceProvider-L-213800OYHR1MPQ5VJL60,L-213800OYHR1MPQ5VJL60,isPlayedBy
LegalEntity-BOLSADEVALORESMINAS-ESPIRITOSANTO-BRASILIA,owl#NamedIndividual,22-rdf-syntax-ns#type
