source_id,target_id,relationship
HI,HI,hasTag
Extension,EXT,preferredDesignation
Burg,BURG,commonDesignation
NL,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Roads,RDS,preferredDesignation
Spring,SPNG,commonDesignation
Fork,StreetSuffix,22-rdf-syntax-ns#type
LA,RegionSpecificIdentifier,22-rdf-syntax-ns#type
MB,MB,rdf-schema#label
Brook,"small, natural freshwater stream",core#definition
Canyon,CNYN,commonDesignation
VA,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Track,TRAK,preferredDesignation
Radial,RADL,preferredDesignation
Fords,StreetSuffix,22-rdf-syntax-ns#type
NM,NM,hasTag
Mill,StreetSuffix,22-rdf-syntax-ns#type
AE,ArmedForcesEurope,identifies
Station,STN,commonDesignation
Boulevard,"broad thoroughfare in a city, usually having areas at the sides or center for trees, grass, or flowers",core#definition
US-WY,WY,preferredDesignation
Track,owl#NamedIndividual,22-rdf-syntax-ns#type
Arcade,"arched or covered passageway, usually with shops on each side",core#definition
NY,NY,hasTag
Forge,FRG,preferredDesignation
Bridge,BRG,commonDesignation
SD,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Crescent,CRSNT,commonDesignation
Center,CENT,commonDesignation
Cliffs,CLFS,preferredDesignation
PR,PR,hasTag
AZ,US-specific code for the designation for Arizona,core#definition
WY,WY,hasTag
MI,US-specific code for the designation for Michigan,core#definition
IN,UnitedStatesOfAmerica,isUsedBy
Brook,BRK,commonDesignation
Shoals,StreetSuffix,22-rdf-syntax-ns#type
US-OH,owl#NamedIndividual,22-rdf-syntax-ns#type
Mountains,StreetSuffix,22-rdf-syntax-ns#type
Forks,FORKS,commonDesignation
Bottom,bottom,rdf-schema#label
Course,course,rdf-schema#label
Spurs,StreetSuffix,22-rdf-syntax-ns#type
Rue,RUE,preferredDesignation
,owl#Ontology,22-rdf-syntax-ns#type
VI,US-specific code for the designation for the U.S. Virgin Islands,core#definition
Rest,StreetSuffix,22-rdf-syntax-ns#type
MP,MP,hasTag
Prairie,StreetSuffix,22-rdf-syntax-ns#type
NB,NB,hasTag
Estates,ESTS,preferredDesignation
US-NY,NY,preferredDesignation
US-IL,IL,preferredDesignation
WY,WY,preferredDesignation
Divide,divide,rdf-schema#label
View,VW,preferredDesignation
Bypass,StreetSuffix,22-rdf-syntax-ns#type
Summit,SUMMIT,commonDesignation
Shoal,shoal,rdf-schema#label
SK,SK,hasTag
GU,GU,hasTag
WA,WA,preferredDesignation
PR,PuertoRico,identifies
Village,VLG,commonDesignation
NU,owl#NamedIndividual,22-rdf-syntax-ns#type
Lock,owl#NamedIndividual,22-rdf-syntax-ns#type
Corner,COR,preferredDesignation
Fork,fork,rdf-schema#label
Grove,GRV,preferredDesignation
Avenue,StreetSuffix,22-rdf-syntax-ns#type
Street,ST,commonDesignation
Divide,DIV,commonDesignation
Highway,HIWAY,commonDesignation
Islands,ISLNDS,commonDesignation
Greens,GRNS,preferredDesignation
Fields,FLDS,commonDesignation
Dam,DM,commonDesignation
SK,SK,preferredDesignation
GU,GU,preferredDesignation
US-LA,owl#NamedIndividual,22-rdf-syntax-ns#type
KS,UnitedStatesOfAmerica,isUsedBy
NL,NL,hasTag
NB,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Shores,owl#NamedIndividual,22-rdf-syntax-ns#type
BC,RegionSpecificIdentifier,22-rdf-syntax-ns#type
ArmedForcesPacific,Armed Forces Pacific,hasEnglishShortName
Ridge,RDG,preferredDesignation
ND,UnitedStatesOfAmerica,isUsedBy
AP,AP,preferredDesignation
US-MT,MT,preferredDesignation
Ridges,RDGS,preferredDesignation
Crescent,crescent,rdf-schema#label
Trailer,TRAILER,commonDesignation
Ways,WAYS,preferredDesignation
NT,NT,rdf-schema#label
Forge,FORGE,commonDesignation
NL,NL,preferredDesignation
US-AE,ArmedForcesEurope,denotes
Island,ISLAND,commonDesignation
Courts,CTS,preferredDesignation
Estates,ESTATES,commonDesignation
LA,LA,preferredDesignation
QC,Quebec,denotes
Expressway,StreetSuffix,22-rdf-syntax-ns#type
Field,field,rdf-schema#label
Plain,PLN,commonDesignation
ArmedForcesPacific,UnitedStatesOfAmerica,isSubregionOf
Gardens,GDNS,preferredDesignation
WA,Washington,denotes
Walk,WALK,commonDesignation
Viaduct,VIADCT,commonDesignation
ND,ND,hasTag
Islands,ISS,commonDesignation
Expressway,EXPR,commonDesignation
Mission,MSN,preferredDesignation
NS,RegionSpecificIdentifier,22-rdf-syntax-ns#type
UT,Utah,denotes
UM,owl#NamedIndividual,22-rdf-syntax-ns#type
BC,owl#NamedIndividual,22-rdf-syntax-ns#type
Island,StreetSuffix,22-rdf-syntax-ns#type
Ridge,RIDGE,commonDesignation
Keys,StreetSuffix,22-rdf-syntax-ns#type
AS,US-specific code for the designation for American Samoa,core#definition
ND,NorthDakota,denotes
Common,StreetSuffix,22-rdf-syntax-ns#type
MD,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Trafficway,TRFY,preferredDesignation
Harbor,HBR,commonDesignation
Route,RTE,preferredDesignation
Locks,owl#NamedIndividual,22-rdf-syntax-ns#type
Trace,StreetSuffix,22-rdf-syntax-ns#type
Garden,owl#NamedIndividual,22-rdf-syntax-ns#type
Crest,crest,rdf-schema#label
Stravenue,STRVN,commonDesignation
Loaf,owl#NamedIndividual,22-rdf-syntax-ns#type
Mountain,owl#NamedIndividual,22-rdf-syntax-ns#type
NJ,NewJersey,identifies
US-AA,ArmedForcesAmericas,identifies
Shores,SHRS,preferredDesignation
Fields,FIELDS,commonDesignation
US-SD,SD,preferredDesignation
Land,LAND,commonDesignation
Park,StreetSuffix,22-rdf-syntax-ns#type
Light,LIGHT,commonDesignation
CA,CA,hasTag
Manor,MNR,preferredDesignation
Mountain,StreetSuffix,22-rdf-syntax-ns#type
Rapids,rapids,rdf-schema#label
Burg,burg,rdf-schema#label
Fall,owl#NamedIndividual,22-rdf-syntax-ns#type
UT,UT,rdf-schema#label
DC,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Court,COURT,commonDesignation
Summit,SUMITT,commonDesignation
Cove,COVE,commonDesignation
MO,Missouri,identifies
ON,Ontario,identifies
MO,owl#NamedIndividual,22-rdf-syntax-ns#type
CA,CA,preferredDesignation
AZ,AZ,preferredDesignation
Crossroads,XRDS,preferredDesignation
MO,MO,rdf-schema#label
Knoll,owl#NamedIndividual,22-rdf-syntax-ns#type
ON,owl#NamedIndividual,22-rdf-syntax-ns#type
Wall,WALL,commonDesignation
Camp,camp,rdf-schema#label
UM,UnitedStatesMinorOutlyingIslands,denotes
Wall,wall,rdf-schema#label
Falls,FALLS,commonDesignation
Fall,FALL,commonDesignation
Shoal,SHOAL,commonDesignation
TN,US-specific code for the designation for Tennessee,core#definition
CA-NT,NT,preferredDesignation
ON,ON,rdf-schema#label
Square,SQ,commonDesignation
MD,Maryland,denotes
Path,PATH,preferredDesignation
IL,UnitedStatesOfAmerica,isUsedBy
Walk,owl#NamedIndividual,22-rdf-syntax-ns#type
Parkway,PARKWAY,commonDesignation
Drive,StreetSuffix,22-rdf-syntax-ns#type
Mount,owl#NamedIndividual,22-rdf-syntax-ns#type
Landing,StreetSuffix,22-rdf-syntax-ns#type
PE,PrinceEdwardIsland,denotes
US-KS,owl#NamedIndividual,22-rdf-syntax-ns#type
US-AP,AP,preferredDesignation
FM,owl#NamedIndividual,22-rdf-syntax-ns#type
Mews,mews,rdf-schema#label
Radial,owl#NamedIndividual,22-rdf-syntax-ns#type
Burgs,BGS,preferredDesignation
US-NM,owl#NamedIndividual,22-rdf-syntax-ns#type
AZ,Arizona,denotes
Forges,StreetSuffix,22-rdf-syntax-ns#type
NT,Canada,isUsedBy
Ville,owl#NamedIndividual,22-rdf-syntax-ns#type
Spur,spur,rdf-schema#label
Haven,HAVEN,commonDesignation
HI,HI,rdf-schema#label
Radial,StreetSuffix,22-rdf-syntax-ns#type
PW,owl#NamedIndividual,22-rdf-syntax-ns#type
NJ,NJ,hasTag
AS,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Cliff,CLF,preferredDesignation
Flats,FLTS,commonDesignation
US-KS,KS,preferredDesignation
Crescent,CRES,preferredDesignation
NM,NM,rdf-schema#label
US-MI,owl#NamedIndividual,22-rdf-syntax-ns#type
Brooks,BRKS,preferredDesignation
Station,STATION,commonDesignation
YT,YT,preferredDesignation
Vista,VST,commonDesignation
Lakes,LKS,commonDesignation
US-WV,owl#NamedIndividual,22-rdf-syntax-ns#type
NJ,NJ,preferredDesignation
SC,SC,hasTag
Mills,mills,rdf-schema#label
Track,TRKS,commonDesignation
Motorway,StreetSuffix,22-rdf-syntax-ns#type
Extension,owl#NamedIndividual,22-rdf-syntax-ns#type
OK,US-specific code for the designation for Oklahoma,core#definition
Pass,PASS,commonDesignation
Green,GREEN,commonDesignation
OR,US-specific code for the designation for Oregon,core#definition
DC,DC,hasTag
OR,OR,preferredDesignation
WY,WY,rdf-schema#label
Point,PT,commonDesignation
Square,SQUARE,commonDesignation
MH,MH,preferredDesignation
US-AA,US-AA,hasTag
PR,US-specific code for the designation for Puerto Rico,core#definition
WA,WA,rdf-schema#label
PE,UnitedStatesOfAmerica,isUsedBy
ArmedForcesAmericas,State,isClassifiedBy
Trail,TRL,commonDesignation
NB,NB,rdf-schema#label
TN,owl#NamedIndividual,22-rdf-syntax-ns#type
NV,owl#NamedIndividual,22-rdf-syntax-ns#type
DC,DC,preferredDesignation
MS,Mississippi,identifies
Fork,FRK,commonDesignation
Burgs,multiple cities or towns (informal),core#definition
Fork,FORK,commonDesignation
TX,Texas,identifies
Knoll,knoll,rdf-schema#label
Expressway,EXPY,preferredDesignation
NL,owl#NamedIndividual,22-rdf-syntax-ns#type
Burg,StreetSuffix,22-rdf-syntax-ns#type
Annex,annex,rdf-schema#label
Bayou,bayou,rdf-schema#label
SK,SK,rdf-schema#label
