source_id,target_id,relationship
,CurrencyAmount.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
MonetaryPrice,Price,rdf-schema#subClassOf
isPriceFor,refersTo,rdf-schema#subPropertyOf
hasAmount,XMLSchema#decimal,rdf-schema#range
UnitPrice,unit price,rdf-schema#label
hasMinorUnit,has minor unit,rdf-schema#label
N36dd42866e704b0c9e1f13359681f461,Currency,owl#someValuesFrom
isPriceFor,is price for,rdf-schema#label
N5cb93c40754e494aafb2b418f51e866c,XMLSchema#string,owl#onDataRange
CurrencyBasket,currency basket,rdf-schema#label
hasNumericCode,"relates a numeric code to something, such as a currency or fund",core#definition
hasRateValue,XMLSchema#decimal,rdf-schema#range
N36dd42866e704b0c9e1f13359681f461,identifies,owl#onProperty
UnitOfAccountIdentifier,owl#Class,22-rdf-syntax-ns#type
isPriceFor,links a price to something it provides a value for,core#definition
N5f441c5eb9894be2a7cb8b556d225b0d,hasExpression,owl#onProperty
UnitOfAccountIdentifier,Identifier,rdf-schema#subClassOf
,"ISO 4217 Codes for the representation of currencies and funds, Eighth edition, 2015-08-01",directSource
N2956db9cb65e44fdbaf3c7842bc5e390,owl#Restriction,22-rdf-syntax-ns#type
N19cda6d6e2df4907b398de576b53f89b,hasCurrency,owl#onProperty
N63a68fb7d87840a9b183de9d0730041f,Currency,owl#onClass
ExchangeRate,N2cc6349fd1c74d28928f923c270cf653,rdf-schema#subClassOf
MonetaryPrice,MonetaryAmount,rdf-schema#subClassOf
hasNotionalAmount,has notional amount,rdf-schema#label
N3a416bd6586f41ed8c804f99742d3801,Currency,owl#onClass
ExchangeRate,Ratio,rdf-schema#subClassOf
CalculatedPrice,monetary price determined by a formula,core#definition
N5cb93c40754e494aafb2b418f51e866c,hasTag,owl#onProperty
hasAmount,has amount,rdf-schema#label
Nfc43cab15b74430987f0a2f4c364cac9,Currency,owl#onClass
PreciousMetalIdentifier,Nae3e143dd7854681af37cfaa7d7923c0,rdf-schema#subClassOf
hasNotionalAmount,owl#ObjectProperty,22-rdf-syntax-ns#type
hasRateValue,has rate value,rdf-schema#label
Nb38b16bab4f54d3bb63ec67dcc18aad4,owl#Restriction,22-rdf-syntax-ns#type
,"CurrencyAmount.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
,owl#Ontology,22-rdf-syntax-ns#type
N2956db9cb65e44fdbaf3c7842bc5e390,isPriceFor,owl#onProperty
hasNotionalAmount,"ISO 10962:2019, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019-10, clause 6.8.2",adaptedFrom
Currency,"medium of exchange value, defined by reference to the geographical location of the monetary authorities responsible for it",core#definition
hasNumericCode,"In the case of currency codes, the numeric currency code is derived, where possible, from the United Nations Standard Country or Area Code. Additional codes to meet special requirements (as described in 5.1.3) and in respect of funds will be allocated as necessary from within the user-assigned range of codes 950 to 998. Funds codes are allocated in descending order commencing at 998.",core#scopeNote
PreciousMetalIdentifier,N554ae10c5f2846cb8acd300fe2e179a5,rdf-schema#subClassOf
ExchangeRate,rate at which one currency can be exchanged for another,core#definition
PreciousMetalIdentifier,CodeElement,rdf-schema#subClassOf
,"This ontology defines currency and monetary amount related concepts for use in defining other FIBO ontology elements. There are two distinct kinds of concepts that correspond to money and amounts: a concrete, actual amount of money, and the monetary measure of something denominated in some currency. These are dimensionally the same but whereas 'money amount' is defined as an amount of money, 'monetary amount' is an abstract monetary measure.

The definition of currency provided herein is compliant with the definitions given in ISO 4217. ISO 4217 provides universally applicable coded representations of names of currencies and funds, used internationally for financial transaction support. The ontology has been partitioned into 2 parts: (1) the essential concept system describing the standard (this module), and (2) ISO4217-1-CurrencyCodes, which contains all of the individuals specified in ISO 4217.",abstract
CurrencyIdentifier,Identifier,rdf-schema#subClassOf
N2412cfaed98b4cc2a97750590ca64951,XMLSchema#string,owl#someValuesFrom
hasMonetaryAmount,has monetary amount,rdf-schema#label
N9dc9db809c64484da9cd8f598cdedb01,1,owl#maxQualifiedCardinality
PreciousMetal,or have a high economic value,core#definition
Price,price,rdf-schema#label
CurrencyIdentifier,"Codes for the representation of currencies and funds, ISO 4217, Eighth edition, 2015-08-01, section 3.2",adaptedFrom
N5f441c5eb9894be2a7cb8b556d225b0d,owl#Restriction,22-rdf-syntax-ns#type
hasDealtCurrency,hasCurrency,rdf-schema#subPropertyOf
hasDealtCurrency,owl#ObjectProperty,22-rdf-syntax-ns#type
Currency,currency,rdf-schema#label
CurrencyIdentifier,sequence of characters representing some currency,core#definition
,Release,hasMaturityLevel
AmountOfMoney,cash,synonym
Nfc43cab15b74430987f0a2f4c364cac9,hasCurrency,owl#onProperty
Nfeafd70ba98b42f8baff9ad1cd117a47,GeopoliticalEntity,owl#someValuesFrom
," version of this ontology was modified to loosen a restriction on currency to allow for more than one numeric currency code, which was necessitated by the October 2021 update to the ISO currency code definitions.",core#changeNote
MonetaryPrice,owl#Class,22-rdf-syntax-ns#type
UnitPrice,MonetaryPrice,rdf-schema#subClassOf
N40f37daf30c84288955d7df530d158f6,XMLSchema#decimal,owl#onDataRange
N40f37daf30c84288955d7df530d158f6,hasRateValue,owl#onProperty
hasPrice,hasQuantityValue,rdf-schema#subPropertyOf
CurrencyIdentifier,"The first (left-most) two characters of the ISO 4217 3-letter currency identifier relate to the currency authority that issues the currency, and is, in most cases the ISO 3166-1 alpha 2 code for the geopolitical entity whose central bank is the issuer. The third (right-most) character of the identifier (alphabetic code) is an indicator derived from the name of the major currency unit or fund. If the currency is not associated with a single geographical entity as described in ISO 3166-1, typically a specially allocated identifier (alpha-2 code) is used to describe the currency authority. This code has been allocated by the Maintenance Agency from within the user-assigned range of codes XA to XZ specified in 8.1.3 of ISO 3166-1:2013. The character following X will be a mnemonic, where possible, derived from the name of the geographical area concerned.",explanatoryNote
N90a66745a3654654a027b029208fb0c9,XMLSchema#string,owl#onDataRange
FundsIdentifier,funds identifier,rdf-schema#label
Nc1dae753eb4e446b8aeecec4559e446f,1,owl#qualifiedCardinality
Nae3e143dd7854681af37cfaa7d7923c0,XMLSchema#string,owl#onDataRange
Currency,N9dc9db809c64484da9cd8f598cdedb01,rdf-schema#subClassOf
isPriceFor,hasPrice,owl#inverseOf
UnitOfAccount,Currency,rdf-schema#subClassOf
Nc1dae753eb4e446b8aeecec4559e446f,owl#Restriction,22-rdf-syntax-ns#type
MonetaryPrice,"As the consideration given in exchange for transfer of ownership, price forms the essential basis of commercial transactions. It may be fixed by a contract, left to be determined by an agreed upon formula at a future date, or discovered or negotiated during the course of dealings between the parties involved. In commerce, price is determined by what (1) a buyer is willing to pay, (2) a seller is willing to accept, and (3) the competition is allowing to be charged.",explanatoryNote
,"ISO 4217 Codes for the representation of currencies and funds, Seventh edition, 2008-07-15",directSource
N21a65e19a8824a70860c0b7dfb94596d,hasDealtCurrency,owl#onProperty
N63a68fb7d87840a9b183de9d0730041f,hasBaseCurrency,owl#onProperty
hasPrice,owl#ObjectProperty,22-rdf-syntax-ns#type
FundsIdentifier,Nd40d2015c66841618f0ae01cf80b9911,rdf-schema#subClassOf
hasBaseCurrency,"specifies a unit of currency representing R units of the dealt currency, where R is the exchange rate value, in an exchange rate",core#definition
N13c39a8568ef4c0e88f219bfd9f6c497,hasTag,owl#onProperty
, version of this ontology was modified to use the generic statistical measures and measurements now in FND.,core#changeNote
hasCurrency,owl#ObjectProperty,22-rdf-syntax-ns#type
N19cda6d6e2df4907b398de576b53f89b,Currency,owl#onClass
N5f441c5eb9894be2a7cb8b556d225b0d,1,owl#qualifiedCardinality
N40f37daf30c84288955d7df530d158f6,owl#Restriction,22-rdf-syntax-ns#type
N3a416bd6586f41ed8c804f99742d3801,1,owl#qualifiedCardinality
hasNumericCode,has numeric code,rdf-schema#label
MonetaryPrice,monetary price,rdf-schema#label
MonetaryAmount,owl#Class,22-rdf-syntax-ns#type
UnitOfAccountIdentifier,unit of account identifier,rdf-schema#label
Price,"amount of money, goods, or services requested, expected, required, or given in exchange for something else",core#definition
ExchangeRate,The exchange rate between the U.S. dollar and British pound is distinct from the exchange rate between the U.S. dollar and the euro.,core#example
