source_id,target_id,relationship
ProvinceOfAlbertaEntity,Alberta,hasSharedSovereigntyOver
CanadianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
ProvinceOfQuebecEntity,individual representing the regional sovereignty and polity that is the Canadian Province of Quebec,core#definition
GovernmentOfYukon,YukonJurisdiction,hasJurisdiction
ProvinceOfNewfoundlandAndLabradorEntity,NewfoundlandAndLabrador,hasSharedSovereigntyOver
YukonJurisdiction,Yukon jurisdiction,rdf-schema#label
GovernmentOfSaskatchewan,,rdf-schema#seeAlso
YukonJurisdiction,Jurisdiction,22-rdf-syntax-ns#type
NorthwestTerritoriesEntity,RegionalSovereignty,22-rdf-syntax-ns#type
ProvinceOfOntarioEntity,RegionalSovereignty,22-rdf-syntax-ns#type
YukonEntity,Yukon,hasSharedSovereigntyOver
ProvinceOfNewBrunswickEntity,RegionalSovereignty,22-rdf-syntax-ns#type
ProvinceOfNovaScotiaJurisdiction,Courthouse_Locations_Map.htm,rdf-schema#seeAlso
GovernmentOfPrinceEdwardIsland,ProvinceOfPrinceEdwardIslandJurisdiction,hasJurisdiction
GovernmentOfCanada,Government of Canada,rdf-schema#label
GovernmentOfQuebec,owl#NamedIndividual,22-rdf-syntax-ns#type
CanadianJurisdiction,Canadian jurisdiction,rdf-schema#label
CanadianEntity,FederatedSovereignty,22-rdf-syntax-ns#type
NunavutJurisdiction,Nunavut,hasReach
ProvinceOfNovaScotiaJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
NunavutJurisdiction,Nunavut jurisdiction,rdf-schema#label
ProvinceOfNovaScotiaJurisdiction,,rdf-schema#isDefinedBy
CanadianJurisdiction,"Canada's federal structure divides government responsibilities between the federal government and the ten provinces. Provincial legislatures are unicameral and operate in parliamentary fashion similar to the House of Commons. Canada's three territories also have legislatures, but these are not sovereign and have fewer constitutional responsibilities than the provinces. The territorial legislatures also differ structurally from their provincial counterparts.",explanatoryNote
YukonEntity,Yukon entity,rdf-schema#label
NunavutEntity,GovernmentOfNunavut,isRepresentedBy
GovernmentOfQuebec,individual representing the regional government of the province of Quebec,core#definition
GovernmentOfManitoba,individual representing the regional government of the province of Manitoba,core#definition
GovernmentOfSaskatchewan,individual representing the regional government of the province of Saskatchewan,core#definition
GovernmentOfNorthwestTerritories,owl#NamedIndividual,22-rdf-syntax-ns#type
ProvinceOfAlbertaJurisdiction,,rdf-schema#seeAlso
ProvinceOfManitobaEntity,Manitoba,hasSharedSovereigntyOver
CanadianEntity,,rdf-schema#isDefinedBy
ProvinceOfBritishColumbiaJurisdiction,GovernmentOfBritishColumbia,isJurisdictionOf
GovernmentOfYukon,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfManitoba,index.html,rdf-schema#seeAlso
ProvinceOfAlbertaEntity,index.cfm,rdf-schema#seeAlso
GovernmentOfAlberta,owl#NamedIndividual,22-rdf-syntax-ns#type
CanadianEntity,PrinceEdwardIsland,hasSharedSovereigntyOver
GovernmentOfNorthwestTerritories,NorthwestTerritories,governs
ProvinceOfNewfoundlandAndLabradorEntity,,rdf-schema#seeAlso
,owl#Ontology,22-rdf-syntax-ns#type
,"Copyright (c) 2016-2023 EDM Council, Inc.",copyright
GovernmentOfSaskatchewan,Saskatchewan,governs
,"This ontology provides the set of basic federal government, provincial, and territory level entities and jurisdictions for use in other Canada-specific FIBO ontologies.",abstract
ProvinceOfManitobaEntity,GovernmentOfManitoba,isRepresentedBy
ProvinceOfManitobaEntity,,rdf-schema#seeAlso
YukonEntity,RegionalSovereignty,22-rdf-syntax-ns#type
GovernmentOfCanada,FederalGovernment,22-rdf-syntax-ns#type
GovernmentOfQuebec,Accueil.aspx?pgs,rdf-schema#seeAlso
ProvinceOfPrinceEdwardIslandEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
ProvinceOfSaskatchewanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfSaskatchewan,government of Saskatchewan,rdf-schema#label
ProvinceOfNewfoundlandAndLabradorEntity,RegionalSovereignty,22-rdf-syntax-ns#type
ProvinceOfSaskatchewanJurisdiction,province of Saskatchewan jurisdiction,rdf-schema#label
GovernmentOfBritishColumbia,governments,rdf-schema#seeAlso
ProvinceOfOntarioEntity,individual representing the regional sovereignty and polity that is the Canadian Province of Ontario,core#definition
ProvinceOfSaskatchewanJurisdiction,GovernmentOfSaskatchewan,isJurisdictionOf
ProvinceOfManitobaEntity,RegionalSovereignty,22-rdf-syntax-ns#type
CanadianEntity,Canadian entity,rdf-schema#label
ProvinceOfNewBrunswickEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
YukonEntity,,rdf-schema#seeAlso
ProvinceOfPrinceEdwardIslandJurisdiction,,rdf-schema#seeAlso
NorthwestTerritoriesJurisdiction,NorthwestTerritories,hasReach
GovernmentOfManitoba,Manitoba,governs
GovernmentOfAlberta,individual representing the regional government of the province of Alberta,core#definition
ProvinceOfPrinceEdwardIslandEntity,,rdf-schema#isDefinedBy
NorthwestTerritoriesEntity,Northwest Territories entity,rdf-schema#label
ProvinceOfSaskatchewanEntity,,rdf-schema#isDefinedBy
CanadianJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
CanadianEntity,Ontario,hasSharedSovereigntyOver
NunavutEntity,Nunavut entity,rdf-schema#label
ProvinceOfManitobaJurisdiction,,rdf-schema#isDefinedBy
,Release,hasMaturityLevel
NunavutJurisdiction,individual representing the overall jurisdiction for the Courts of Nunavut,core#definition
ProvinceOfOntarioEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
ProvinceOfNewBrunswickJurisdiction,,rdf-schema#isDefinedBy
GovernmentOfNewfoundlandAndLabrador,RegionalGovernment,22-rdf-syntax-ns#type
GovernmentOfNunavut,RegionalGovernment,22-rdf-syntax-ns#type
GovernmentOfQuebec,RegionalGovernment,22-rdf-syntax-ns#type
NunavutJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfPrinceEdwardIsland,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfOntario,government of Ontario,rdf-schema#label
GovernmentOfOntario,ProvinceOfOntarioJurisdiction,hasJurisdiction
GovernmentOfOntario,owl#NamedIndividual,22-rdf-syntax-ns#type
ProvinceOfAlbertaJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
YukonJurisdiction,individual representing the overall jurisdiction for the Courts of Yukon,core#definition
GovernmentOfNovaScotia,NovaScotia,governs
NunavutJurisdiction,GovernmentOfNunavut,isJurisdictionOf
ProvinceOfQuebecJurisdiction,Justice.aspx,rdf-schema#seeAlso
CanadianEntity,NewBrunswick,hasSharedSovereigntyOver
ProvinceOfNovaScotiaJurisdiction,NovaScotia,hasReach
YukonJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfYukon,government of Yukon,rdf-schema#label
NorthwestTerritoriesEntity,individual representing the regional sovereignty and polity that is the Canadian Northwest Territories,core#definition
GovernmentOfAlberta,government of Alberta,rdf-schema#label
GovernmentOfNovaScotia,,rdf-schema#seeAlso
