source_id,target_id,relationship
BrazilianEntity,GovernmentOfTheFederativeRepublicOfBrazil,isRepresentedBy
GovernmentOfTheRepublicOfEcuador,Ecuador,governs
GuyaneseEntity,Guyanese entity,rdf-schema#label
GovernmentOfTheRepublicOfParaguay,"unitary dominant-party presidential republic and representative democracy, whose president is both head of state and head of government",core#definition
GovernmentOfTheRepublicOfPeru,República del Perú,rdf-schema#label
JurisdictionOfSuriname,Jurisdiction,22-rdf-syntax-ns#type
GuyaneseEntity,GovernmentOfTheCo-operativeRepublicOfGuyana,isRepresentedBy
JurisdictionOfBolivia,jurisdiction of Bolivia,rdf-schema#label
ChileanEntity,GovernmentOfTheRepublicOfChile,isRepresentedBy
JurisdictionOfEcuador,"jurisdiction of the judiciary of Ecuador, which is the system of courts, including as its main body the Judicial Council, and also includes the National Court of Justice, provincial courts, and lower courts, that interprets and applies the law in Ecuador",core#definition
GovernmentOfTheFederativeRepublicOfBrazil,República Federativa do Brasil,rdf-schema#label
ChileanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheFederativeRepublicOfBrazil,Brazil,governs
GuyaneseEntity,Guyana,hasFullSovereigntyOver
JurisdictionOfChile,GovernmentOfTheRepublicOfChile,isJurisdictionOf
GovernmentOfTheRepublicOfPeru,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfSuriname,"jurisdiction of the judiciary of Suriname, which is the system of courts, headed by the High Court of Justice of Suriname (Supreme Court), that interprets and applies the law in Suriname",core#definition
,,owl#versionIRI
GovernmentOfTheOrientalRepublicOfUruguay,República Oriental do Uruguai,rdf-schema#label
GovernmentOfTheCo-operativeRepublicOfGuyana,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfTheArgentineRepublic,JurisdictionOfArgentina,hasJurisdiction
JurisdictionOfPeru,jurisdiction of Peru,rdf-schema#label
JurisdictionOfPeru,GovernmentOfTheRepublicOfPeru,isJurisdictionOf
GovernmentOfTheArgentineRepublic,Government of the Argentine Republic,rdf-schema#label
ParaguayanEntity,GovernmentOfTheRepublicOfParaguay,isRepresentedBy
,owl#Ontology,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfParaguay,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfThePlurinationalStateOfBolivia,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheArgentineRepublic,Argentina,governs
